Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Esther; rue Taitbout; 9; 48.872495, 2.33585; maison; Esther, Lucien, Europa; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Nuncigen; rue Saint-Lazare; 9; 48.876858, 2.333116; maison; Nuncigen, Louchard; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Nuncigen; rue Saint-Lazare; 9; 48.876858, 2.333116; maison; Nuncigen, Contenson; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; café David; rue de la Monnaie; 1; 48.861139, 2.343861; café; Contenson, Peyrade, Camusot; inexacte; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Peyrade; rue des Moineaux; 1; 48.867092, 2.333451; maison; Peyrade, Contenson; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Cercle des Etrangers; 6 rue Grange-Batellière; 9; 48.873116, 2.341824; club; Peyrade; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Very; 83 galerie de Beaujolais; 1; 48.866033, 2.338018; restaurant; Peyrade; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Tuileries; Place de la Concorde; 1; 48.864858, 2.323106; jardin publique; Lucien, Contessa de Sérisy; inexacte; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Avenue Gabriel-rue de Marigny; Avenue Gabriel; 8; 48.868811, 2.314562; rue; Peyrade, Contenson, Nuncigen; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; maison de jeux Palais-Royal; Palais-Royal; 1; 48.867416, 2.333572; maison de jeux; Peyrade; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Nuncigen; rue Saint-Lazare; 9; 48.876858, 2.333116; maison; Nuncigen, Delphine de Nuncigen, du Tillet, Rastignac; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Esther; rue Taitbout; 9; 48.872495, 2.33585; maison; Collin, Europa, Lucien; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Pont des Arts; Pont des Arts; 6; 48.857822, 2.337241; rue; Collin, Paccard; inexacte; vécu; gauche; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Nuncigen; rue Saint-Lazare; 9; 48.876858, 2.333116; maison; Corentin, Nuncigen; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Bal Mabille; 49 Avenue Montaigne; 8; 48.867762, 2.307305; bal; Nuncigen; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Esther; rue Taitbout; 9; 48.872495, 2.33585; maison; Georges, Europa; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Nuncigen; rue Saint-Lazare; 9; 48.876858, 2.333116; maison; Nuncigen, Georges, Delphine de Nuncigen; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Nuncigen; rue Saint-Lazare; 9; 48.876858, 2.333116; maison; Nuncigen, Georges, Europa; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Esther; rue Taitbout; 9; 48.872495, 2.33585; maison; Nuncigen, Europa, prostituta inglese; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Esther; rue Taitbout; 9; 48.872495, 2.33585; maison; Collin, Lucien; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Prefecture de police; 36 quai des Orfèvres; 1; 48.855808, 2.342504; bureau; Lucien, prefetto; exact; vécu; gauche; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; café David; rue de la Monnaie; 1; 48.861139, 2.343861; café; Peyrade; inexacte; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Prefecture de police; 36 quai des Orfèvres; 1; 48.855808, 2.342504; bureau; prefetto, Peyrade; exact; vécu; gauche; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Peyrade; rue des Moineaux; 1; 48.867092, 2.333451; maison; Peyrade, Corentin, Contenson; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Cérizet; Rue du Gros-Chenet (oggi rue du Sentier); 2; 48.868487, 2.345596; maison; Collin, Cérizet; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; boutique signora de Saint-Estève (Asia); rue Neuve-Saint-Marc; 2; 48.87056, 2.339289; boutique; Asia, Nuncigen; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; boutique signora de Saint-Estève (Asia); rue Neuve-Saint-Marc; 2; 48.87056, 2.339289; boutique; Asia, Nuncigen; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Rue Sainte-Barbe (oggi rue Thorel); Rue Sainte-Barbe ; 2; 48.870427, 2.349089; rue; Asia, Nuncigen; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; rue de la Perle; rue de la Perle; 3; 48.859581, 2.361443; rue; Asia, Nuncigen; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; maison rue Barbette; rue Barbette; 3; 48.858875, 2.360705; maison; Asia, Nuncigen, Esther, Collin (nascosto); inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Esther; rue Taitbout; 9; 48.872495, 2.33585; maison; Nuncigen, Esther, Europa, Contenson, Louchard, Asia; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Boulevard angolo rue Taitbout; Boulevard angolo rue Taitbout; 9; 48.872644, 2.335468; rue; Asia, Collin, Louchard, Contenson; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Palais-Royal; Palais-Royal; 1; 48.864144, 2.336432; place; Collin; inexacte; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Passage de l’Opéra – rue Pinon; rue Pinon (oggi rue Rossini); 9; 48.873122, 2.33914; rue; Collin; inexacte; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Esther; rue Taitbout; 9; 48.872495, 2.33585; maison; Collin, Esther, Europa, Paccard; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Lucien; quai Malaquais; 6; 48.85791, 2.334756; maison; Lucien, Collin; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Nuncigen; rue Saint-Lazare; 9; 48.876858, 2.333116; maison; Nuncigen, cassiere, agente di cambio; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; rue des Trois-Frères; rue des Trois-Frères; 18; 48.885059, 2.34016; rue; Nuncigen, Europa; inexacte; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; rue Taitbout; rue Taitbout; 9; 48.872495, 2.33585; rue; Nuncigen, Esther; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Esther; rue Taitbout; 9; 48.872495, 2.33585; maison; Esther, Nuncigen, Europa; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Nuncigen; rue Saint-Lazare; 9; 48.876858, 2.333116; maison; Nuncigen, Delphine de Nuncigen, Asia; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Théâtre des Variétés; 7 Boulevard Montmartre; 2; 48.871403, 2.342088; théâtre; Nuncigen, Asia; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Lucien; quai Malaquais; 6; 48.85791, 2.334756; maison; Collin, Asia; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Esther; rue Taitbout; 9; 48.872495, 2.33585; maison; Esther, Collin, Europa; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Bourse; Place de la Bourse; 2; 48.868586, 2.341716; bâtiment; Nuncigen, du Tillet, Keller; inexacte; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Esther; rue Taitbout; 9; 48.872495, 2.33585; maison; Esther, Nuncigen, Europa; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Madame Thomas; 23 rue des Filles-Saint-Thomas; 2; 48.868889, 2.338642; boutique; Nuncigen; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Madame Prévôt; 10 rue de Richelieu; 1; 48.864256, 2.336235; boutique; Nuncigen; exact; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Chevet; 22 Galerie de Chartres; 1; 48.863722, 2.336607; épicerie; Nuncigen; exact; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Rocher de Cancale; 59 rue Montorgueil; 2; 48.865606, 2.346925; restaurant; Nuncigen; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Esther, rue Saint-Georges; rue Saint-Georges; 9; 48.877646, 2.337342; maison; Esther, Nuncigen, Europa; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Théâtre de la Porte-Saint-Martin; 18 Boulevard Saint-Martin; 10; 48.86907, 2.356987; théâtre; Esther, Nuncigen, Tullia, Mariette, signora du Val-Noble, conte di Brambourg, Du Bruel, Brindeau; exact; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Opéra; 12 Rue Le Peletier; 9; 48.872755, 2.338658; théâtre; Blodet, de Marsay; exact; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Champs-Elysées; Champs-Elysées; 8; 48.870757, 2.305331; rue; signora du Val-Noble, Théodore Gaillard, Peyrade, Contenson, Esther; inexacte; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez madame Val-Noble; rue Louis-le-Grand; 2; 48.870046, 2.333653; maison; madame du Val-Noble; inexacte; cité; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Théâtre des Variétés; 7 Boulevard Montmartre; 2; 48.871403, 2.342088; théâtre; madame du Val-Noble; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Lucien; quai Malaquais; 6; 48.85791, 2.334756; maison; Collin, Asia; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Hôtel Mirabeau; 6 rue de Seine; 6; 48.857196, 2.336427; hôtel; Peyrade, Contenson, Collin; exact; vécu; gauche; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez madame Val-Noble; rue Louis-le-Grand; 2; 48.870046, 2.333653; maison; Peyrade, cameriera madame du Val-Noble, Collin, Contenson, Corentin; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Lucien; quai Malaquais; 6; 48.85791, 2.334756; maison; Collin; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Palazzo Grandlieu; rue Saint-Dominique; 7; 48.859959, 2.311689; maison; Lucien, madame de Grandlieu, Clotilde, duca de Grandlieu, Maufrigneuse, marchese d’Espard; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Lucien; quai Malaquais; 6; 48.85791, 2.334756; maison; Lucien, Collin, Corentin; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Esther, rue Saint-Georges; rue Saint-Georges; 9; 48.877646, 2.337342; maison; Collin; inexacte; cité; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Théâtre des Italiens (salle Favart); Place Boieldieu; 2; 48.870817, 2.337444; théâtre; Esther, Lucien, Nuncigen; inexacte; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Palazzo Grandlieu; rue Saint-Dominique; 7; 48.859959, 2.311689; maison; Lucien, duca de Chaulieu, duca di Rhétoré; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Palazzo Grandlieu; rue Saint-Dominique; 7; 48.859959, 2.311689; maison; duca di Grandlieu, duca de Chaulieu; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Théâtre des Italiens (salle Favart); Place Boieldieu; 2; 48.870817, 2.337444; tthéâtre; Lucien, Rastignac, Nuncigen, Esther, signora de Sérisy, duca di Rhétoré, Europa; inexacte; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Cadran-Bleu; 27 Boulevard du Temple; 3; 48.865032, 2.365321; restaurant; Esther, madame du Val-Noble; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Esther, rue Saint-Georges; rue Saint-Georges; 9; 48.877646, 2.337342; maison; Lucien, Rastignac, Blondet, Bixiou, du Tillet, Nuncigen, Peyrade, Florine, Esther, madame du Val-Noble, Blondet, Paccard, Asia, Europa; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Peyrade; rue des Moineaux; 1; 48.867092, 2.333451; maison; Peyrade, Katt; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Lucien; quai Malaquais; 6; 48.85791, 2.334756; maison; Lucien, Rastignac; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez madame Val Noble; rue Taitbout; 9; 48.872495, 2.33585; maison; Esther, Lucien, Peyrade, Contenson, Paccard, Asia, madame du Val-Noble, Rastignac, du Tillet; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Tortoni; 22 Boulevard des Italiens; 9; 48.872014, 2.336861; café; madame du Val-Noble; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Peyrade; rue des Moineaux; 1; 48.867092, 2.333451; maison; Peyrade, Lydie, Katt, Peyrade, Desplein, Bianchon; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Esther, rue Saint-Georges; rue Saint-Georges; 9; 48.877646, 2.337342; maison; madame du Val-Noble, Esther, Nuncigen, Europa, fattorino, Collin; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Esther, rue Saint-Georges; rue Saint-Georges; 9; 48.877646, 2.337342; maison; madame du Val-Noble, Esther, Europa, Lucien, Nuncigen, Bixiou; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Nuncigen; rue Saint-Lazare; 9; 48.876858, 2.333116; maison; Nuncigen, agente di cambio; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; Bourse; Place de la Bourse; 2; 48.868586, 2.341716; bâtiment; Nuncigen; inexacte; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; chez Esther, rue Saint-Georges; rue Saint-Georges; 9; 48.877646, 2.337342; maison; Europa, Nuncigen, Paccard, Asia, Collin, Contenson, Camusot, commissario di polizia; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte seconda; La Force; rue Payenne (oggi 3 rue Malher); 4; 48.855613, 2.361128; prison; Lucien, Collin; exact; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte Terza; rue du Martroi (oggi rue de Lobau); rue du Martroi; 4; 48.856507, 2.353532; rrue; Collin, Asia; inexacte; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte Terza; Conciergerie; 2 Boulevard du Palais; 1; 48.856315, 2.344838; prison; Collin, Lucien, Camusot, Bibi-Lupin, Massol, Asia, Coquart, dottor Lebrun, signora Poiret, (signorina Michonneau), cameriere contessa de Sérisy, Granville, conte Octave de Bauvam, contessa de Sérisy, conte de Sérisy, Chargeboeuf; exact; vécu; gauche; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte Terza; Susse; 7 passage du Panoramas; 2; 48.870958, 2.341748; papeterie; Collin; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte Terza; Théâtre des Variétés; 7 Boulevard Montmartre; 2; 48.871403, 2.342088; théâtre; Camusot, Amélie Camusot; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte Terza; Temple; 4 rue Eugène-Spuller; 3; 48.864432, 2.362425; marché; Asia, La Romette; exact; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte Terza; chez madame Nourisson; rue Neuve-Saint-Marc; 2; 48.870628, 2.338793; maison; Asia, madame Nourisson; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte Terza; chez madame de Sérisy; rue de la Chaussée-d’Antin; 9; 48.874521, 2.332616; maison; Asia, duchessa de Maufrigneuse, madame de Sérisy; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte Quarta; Conciergerie; 2 Boulevard du Palais; 1; 48.856315, 2.344838; prison; dottor Lebrun, signor Gault, Collin, La Pouraille, Sélérier (filo di seta), Biffon, signor Gault, Bibi-Lupin, Granville, Sanson, Théodore Calvi, Asia, Paccard, Granville, des Lupeaulx, Corentin, Asia; exact; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte Quarta; Palazzo Grandlieu; rue Saint-Dominique; 7; 48.859959, 2.311689; maison; signora Camusot, Contessa de Maufrigneuse, signor de Grandlieu, duca de Chaulieu, Corentin; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte Quarta; chez Corentin; rue Honoré-Chevalier; 6; 48.849481, 2.332629; maison; signora Camusot, Contessa de Maufrigneuse, signor de Grandlieu; inexacte; cité; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte Quarta; La Rossa; Quai aux Fleurs; 4; 48.854057, 2.351726; maison; Collin, Paccard, Asia, madame Prélard (La Rossa), Europa; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte Quarta; Barrière d’Ivry; Avenue de la Porte d’Ivry; 13; 48.821604, 2.369341; rue; Collin, Europa, Paccard, Asia; inexacte; vécu; gauche; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte Quarta; Conciergerie; 2 Boulevard du Palais; 1; 48.856315, 2.344838; prison; Collin, Bibi-Lupin, Corentin, Granville, signor Garnery; exact; vécu; gauche; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte Quarta; Saint-Germain-des-Prés; 3 Place Saint-Germain des Prés; 6; 48.853967, 2.33452; église; Collin; exact; vécu; gauche; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte Quarta; Père-Lachaise; 16 Rue du Repos; 20; 48.859785, 2.390791; cimetière; Collin, Rastignac, Ruffard; exact; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte Quarta; Conciergerie; 2 Boulevard du Palais; 1; 48.856315, 2.344838; prison; Collin, conte de Bauvan, Granville; exact; vécu; gauche; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte Quarta; Quai aux Fleurs; Quai aux Fleurs; 4; 48.854057, 2.351726; rue; Collin, Asia; inexacte; vécu; gauche; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte Quarta; chez Lucien; quai Malaquais; 6; 48.85791, 2.334756; maison; Collin; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte Quarta; chez madame de Sérisy; rue de la Chaussée-d’Antin; 9; 48.874521, 2.332616; maison; Collin, conte de Bauvan, conte de Sérisy, contessa de Sérisy, Granville; inexacte; vécu; droite; fictif
