Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement 1; Géoréférencement 2 ; Géoréférencement 3 ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Stendhal; Le Rouge et le Noir; Parte seconda, VI; Café rue Saint-Honoré; rue Saint-Honoré; 1; 48.863042, 2.335964; -; -; café; Julien; inexacte; vécu; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, VI; chez monsieur de Beauvoisis; faubourg Saint Germain; 7; 48.858389, 2.319598; -; -; maison; Julien; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, VI; Staub; 92 Rue de Richelieu; 2; 48.870346, 2.339351; -; -; boutique; Julien, signor de Beauvoisis; exact; cité; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, VI; Opéra; 12 Rue Le Peletier; 9; 48.872755, 2.338658; -; -; théâtre; Julien, signor de Beauvoisis; exact; cité; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, VI; Opéra; 12 Rue Le Peletier; 9; 48.872755, 2.338658; -; -; théâtre; Julien, signor de Beauvoisis, cantante Geronimo; exact; vécu; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, VII; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Julien, marchese de La Mole; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, VIII; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Julien, marchese e marchesa de La Mole, Mathilde, duca de Retz, Norbert; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, IX; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Julien, Mathilde; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, X; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Julien, Mathilde; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XI; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Julien, Mathilde; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XII; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Mathilde, Norbert, Croisenois, Julien; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XIII; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Mathilde, Julien, Norbert; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XIII; Opéra; 12 Rue Le Peletier; 9; 48.872755, 2.338658; -; -; théâtre; Julien, Mathilde; exact; cité; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, XIII; Opéra Italien salle Favart; Place Boieldieu; 2; 48.870759, 2.337696; -; -; théâtre; Julien; inexacte; vécu; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, XIV; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Mathilde, Julien; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XV; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Mathilde, Julien, marchese e marchesa de La Mole; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XVI; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Mathilde, Julien; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XVI; Café Tortoni; 22 Boulevard des Italiens; 9; 48.872014, 2.336861; -; -; café; Julien, Mathilde; exact; cité; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, XVII; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Mathilde, Julien; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XVIII; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Mathilde, Julien, marchese de La Mole, Caylus, Luz; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XIX; Opéra Italien salle Favart; Place Boieldieu; 2; 48.870759, 2.337696; -; -; théâtre; Mathilde, marchesa de La Mole; exact; vécu; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, XIX; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Mathilde, Julien, marchesa e marchese de La Mole; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XX; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Mathilde, Julien, Norbert, Croisenois, Luz, Caylus; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XXI; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Julien, marchese de La Mole; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XXV; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Julien, marchese de La Mole; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XXV; Opéra-Bouffe; 65 passage Choiseul; 2; 48.86709, 2.335208; -; -; théâtre; Julien, cavaliere de Beauvoisis, signora de Fervaques, Mathilde; exact; vécu; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, XXVII; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Julien; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XXVII; Opéra-Bouffe; 65 passage Choiseul; 2; 48.86709, 2.335208; -; -; théâtre; Julien, signora de Fervaques; exact; vécu; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, XXVIII; Opéra; 12 Rue Le Peletier; 9; 48.872755, 2.338658; -; -; théâtre; Julien, signora de Fervaques; exact; vécu; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, XIX; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Julien, Mathilde; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XXX; Opéra-Bouffe; 65 passage Choiseul; 2; 48.86709, 2.335208; -; -; théâtre; Julien, signora de Fervaques, Mathilde, marchesa de La Mole; exact; vécu; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, XXXI; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Julien, Mathilde, marchesa de La Mole; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XXXII; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Julien, Mathilde; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XXXIII; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Julien, marchese de La Mole; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, XXXV; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; -; -; maison; Julien, Mathilde; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Le primizie di Parigi; Gaillard-Bois; 6 rue d’Echelle; 1; -; 48.863972, 2.33451; -; hôtel; Lucien, signora de Bargeton; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Direttore generale delle Imposte; rue Faubourg-Saint-Honoré; 8; -; 48.872493, 2.310002; -; maison; Barone du Châtelet; inexacte; cité; droite; fictif
Balzac; Illusions perdues; Le primizie di Parigi; chez madame de Bargeton; rue Cambon; 1; -; 48.86608, 2.325068; -; maison; Lucien, signora de Bargeton; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le primizie di Parigi; Herbault; 8 rue Saint-Augustin; 2; -; 48.868922, 2.337439; -; boutique; signora de Bargeton, Barone du Châtelet; exact; cité; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; rue de la Paix; rue de la Paix; 2; -; 48.869507, 2.331453; -; rue; Lucien; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Rocher de Cancale; 59 rue Montorgueil; 2; -; 48.865606, 2.346925; -; restaurant; Lucien, signora de Bargeton, Barone du Châtelet; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Vaudeville; 6 Boulevard des Capucines; 9; -; 48.870976, 2.333254; -; théâtre; Lucien, signora de Bargeton, Barone du Châtelet; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; chez madame de Bargeton; rue Cambon; 1; -; 48.86608, 2.325068; -; maison; signora de Bargeton, Barone du Châtelet; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le primizie di Parigi; chez marchesa d’Espard; Faubourg-Saint-Honoré; 8; -; 48.870733, 2.303072; -; maison; signora de Bargeton, marchesa d’Espard; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le primizie di Parigi; Tuileries; Place de la Concorde; 1; -; 48.864858, 2.323106; -; jardin publique; Lucien; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Very; 83 galerie de Beaujolais; 1; -; 48.866033, 2.338018; -; restaurant; Lucien; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Gaillard-Bois; 6 rue d’Echelle; 1; -; 48.863972, 2.33451; -; hôtel; Lucien; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; negozi Palais Royal; Rue de Montpensier; 1; -; 48.864639, 2.335815; -; boutique; Lucien; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Opéra; 12 Rue Le Peletier; 9; -; 48.872755, 2.338658; -; théâtre; Lucien, signora de Bargeton, marchesa d’Espard; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; chez marchesa d’Espard; Faubourg-Saint-Honoré; 8; -; 48.870733, 2.303072; -; maison; signora de Bargeton, marchesa d’Espard; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le primizie di Parigi; Staub; 92 Rue de Richelieu; 2; -; 48.870346, 2.339351; -; boutique; Lucien; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Verdier; 95 rue de Richelieu; 2; -; 48.87115, 2.339569; -; boutique; Lucien; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Mme Irlande; 28 Galerie Montpensier; 1; -; 48.86501, 2.337143; -; boutique; Lucien; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; ristorante Palais-Royal; Rue de Montpensier; 1; -; 48.864639, 2.335815; -; restaurant; Lucien; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Piazza Luigi XV; Place de la Concorde; 8; -; 48.86545, 2.321134; -; place; Lucien; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Arco di Trionfo; Place Charles de Gaulle; 8; -; 48.873767, 2.295444; -; place; Lucien; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Hurbain; 53 galerie Montpensier; 1; -; 48.865131, 2.33718; -; restaurant; Lucien; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; chez madame de Bargeton; rue Cambon; 1; -; 48.86608, 2.325068; -; maison; Lucien, Barone du Châtelet; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le primizie di Parigi; Gaillard-Bois; 6 rue d’Echelle; 1; -; 48.863972, 2.33451; -; hôtel; Lucien, Staub; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Terrazza dei foglianti; Tuileries; 1; -; 48.865153, 2.32727; -; jardin publique; Lucien; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Gaillard-Bois; 6 rue d’Echelle; 1; -; 48.863972, 2.33451; -; hôtel; Lucien; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; chez Lucien; rue de Cluny; 5; -; 48.850863, 2.344883; -; maison; Lucien; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Le primizie di Parigi; Flicoteaux; 22 rue Champollion; 5; -; 48.848896, 2.342354; -; restaurant; Lucien; exact; vécu; gauche; réel
Balzac; Illusions perdues; Le primizie di Parigi; biblioteca di Sainte-Geneviève; 10 place du Panthéon; 5; -; 48.847471, 2.346235; -; bibliothèque; Lucien; exact; vécu; gauche; réel
Balzac; Illusions perdues; Flicoteaux; Flicoteaux; 22 rue Champollion; 5; -; 48.848896, 2.342354; -; restaurant; Lucien, Lousteau; exact; vécu; gauche; réel
Balzac; Illusions perdues; Flicoteaux; biblioteca di Sainte-Geneviève; 10 place du Panthéon; 5; -; 48.847471, 2.346235; -; bibliothèque; Lucien; exact; vécu; gauche; réel
Balzac; Illusions perdues; Flicoteaux; Blosse – cabinet de lecture - Passage de Commerce; 59 rue Saint-André-des-Arts; 6; -; 48.853431, 2.338943; -; rue; Lucien; exact; vécu; gauche; réel
Balzac; Illusions perdues; Flicoteaux; Lussemburgo; 15 rue de Vaugirard; 6; -; 48.849216, 2.336455; -; jardin publique; Lucien; exact; vécu; gauche; réel
Balzac; Illusions perdues; Due specie di Librai; Vidal e Porchon, librai-commissionari; rue de la Harpe; 5; -; 48.852127, 2.344336; -; libraire; Lucien, Vidal, Porchon; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Due specie di Librai; Doguereau; rue de Marengo; 1; -; 48.861824, 2.339311; -; libraire; Lucien, Doguereau; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Due specie di Librai; chez Lucien; rue de Cluny; 5; -; 48.850863, 2.344883; -; maison; Lucien, Doguereau; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Un primo amico; biblioteca di Sainte-Geneviève; 10 place du Panthéon; 5; -; 48.847471, 2.346235; -; bibliothèque; Lucien; exact; vécu; gauche; réel
Balzac; Illusions perdues; Un primo amico; rue des Grès-rue de la Harpe; rue de la Harpe; 5; -; 48.852764, 2.344623; -; rue; Lucien, Daniel D’Arthez; inexacte; vécu; gauche; réel
Balzac; Illusions perdues; Un primo amico; Lussemburgo; 15 rue de Vaugirard; 6; -; 48.849216, 2.336455; -; jardin publique; Lucien, Daniel D’Arthez; exact; vécu; gauche; réel
Balzac; Illusions perdues; Un primo amico; chez Daniel D’Arthez; rue des Quatre-Vents; 6; -; 48.851742, 2.337734; -; maison; Lucien, Daniel D’Arthez; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Un primo amico; Edon; 18 rue de l’Ancienne-Comédie; 6; -; 48.852843, 2.338616; -; restaurant; Lucien, Daniel D’Arthez; exact; vécu; gauche; réel
Balzac; Illusions perdues; Il Cenacolo; Lussemburgo; 15 rue de Vaugirard; 6; -; 48.849216, 2.336455; -; jardin publique; Lucien, Daniel D’Arthez; exact; vécu; gauche; réel
Balzac; Illusions perdues; Il Cenacolo; Flicoteaux; 22 rue Champollion; 5; -; 48.848896, 2.342354; -; restaurant; Lucien, Daniel D’Arthez; exact; vécu; gauche; réel
Balzac; Illusions perdues; Il Cenacolo; chez Daniel D’Arthez; rue des Quatre-Vents; 6; -; 48.851742, 2.337734; -; maison; Lucien, Daniel D’Arthez, Horace Bianchon, Léon Giraud, Joseph Brindeau, Fulgence Ridal, Michel Chrestien, Meyraux, Cuvier, Geoffroy-Saint-Hilaire; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; I fiori della miseria; Doguereau; rue de Marengo; 1; -; 48.861824, 2.339311; -; libraire; Lucien; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; I fiori della miseria; chez Daniel D’Arthez; rue des Quatre-Vents; 6; -; 48.851742, 2.337734; -; maison; Lucien, amici del Cenacolo; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; La facciata del giornale; «petit journal»; rue Saint-Fiacre; 2; -; 48.869873, 2.345342; -; rédaction; Lucien, Coloquinta; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; La facciata del giornale; Boulevard; boulevard Poissonnière; 2; -; 48.87125, 2.344532; -; rue; Lucien; inexacte; vécu; droite; réel
Balzac; Illusions perdues; La facciata del giornale; «petit journal»; rue Saint-Fiacre; 2; -; 48.869873, 2.345342; -; rédaction; Lucien, Coloquinta; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; La facciata del giornale; chez Finot; rue Feydeau; 2; -; 48.870059, 2.341541; -; maison; Lucien; inexacte; cité; droite; fictif
Balzac; Illusions perdues; La facciata del giornale; chez Finot; rue Feydeau; 2; -; 48.870059, 2.341541; -; maison; Lucien; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; La facciata del giornale; Flicoteaux; 22 rue Champollion; 5; -; 48.848896, 2.342354; -; restaurant; Lucien; exact; vécu; gauche; réel
Balzac; Illusions perdues; I sonetti; Flicoteaux; 22 rue Champollion; 5; -; 48.848896, 2.342354; -; restaurant; Lucien, Daniel D’Arthez, Lousteau; exact; vécu; gauche; réel
Balzac; Illusions perdues; I sonetti; Lussemburgo; 15 rue de Vaugirard; 6; -; 48.849216, 2.336455; -; jardin publique; Lucien, Lousteau; exact; vécu; gauche; réel
Balzac; Illusions perdues; Un buon consiglio; Dauriat; Galerie de Bois (Galerie d’Orléans); 1; -; 48.864101, 2.33732; -; libraire; Lucien, Lousteau; inexacte; cité; droite; fictif
Balzac; Illusions perdues; Un buon consiglio; Café Voltaire; 1 place de l’Odéon; 6; -; 48.850087, 2.338888; -; café; Finot; exact; cité; gauche; réel
Balzac; Illusions perdues; Un buon consiglio; Panorama-Dramatique; 48 boulevard du Temple; 3; -; 48.865942, 2.365551; -; théâtre; Lucien, Lousteau; exact; cité; droite; réel
Balzac; Illusions perdues; Un buon consiglio; chez Lousteau; rue de la Harpe; 5; -; 48.852127, 2.344336; -; maison; Lucien, Lousteau; inexacte; cité; gauche; fictif
Balzac; Illusions perdues; Terza specie di libraio; chez Lucien; rue de Cluny; 5; -; 48.850863, 2.344883; -; maison; Lucien; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Terza specie di libraio; chez Lousteau; rue de la Harpe; 5; -; 48.852127, 2.344336; -; maison; Lucien, Lousteau, Barbet; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Terza specie di libraio; chez Florine; rue René-Boulanger; 10; -; 48.868515, 2.360085; -; maison; Lucien, Lousteau; inexacte; cité; droite; fictif
Balzac; Illusions perdues; Terza specie di libraio; Galerie de Bois; Galerie d’Orléans; 1; -; 48.864101, 2.33732; -; rue; Lucien, Lousteau; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Le Galeries de Bois; Galerie de Bois; Galerie d’Orléans; 1; -; 48.864101, 2.33732; -; rue; Lucien, Lousteau; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Le Galeries de Bois; Chevet; 22 Galerie de Chartres; 1; -; 48.863722, 2.336607; -; épicerie; Lucien, Lousteau; exact; cité; droite; réel
Balzac; Illusions perdues; Le Galeries de Bois; Café Borel; 113 Galerie de Valois; 1; -; 48.865736, 2.338782; -; café; Lucien, Lousteau; exact; cité; droite; réel
Balzac; Illusions perdues; Le Galeries de Bois; Librairie Ladvocat; 195 Galerie d’Orléans; 1; -; 48.86397, 2.337073; -; libraire; Lucien, Lousteau; exact; cité; droite; réel
Balzac; Illusions perdues; Fisionomia di una bottega di libraio alle Galerie de Bois; Dauriat; Galerie de Bois (Galerie d’Orléans); 1; -; 48.864101, 2.33732; -; libraire; Lucien, Lousteau, Finot, Félicien Vernou, Emile Blondet, Nathan, Dauriat, Gabusson; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Quarta specie di libraio; Dauriat; Galerie de Bois (Galerie d’Orléans); 1; -; 48.864101, 2.33732; -; libraire; Lucien, Lousteau, Finot, Félicien Vernou, Emile Blondet, Nathan, Dauriat, Gabusson, generale Foy, Benjamin Constant; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le quinte; Panorama-Dramatique; 48 boulevard du Temple; 3; -; 48.865942, 2.365551; -; théâtre; Lucien, Lousteau, Florine, Nathan, Vernou, Matifat; exact; vécu; droite; réel
Balzac; Illusions perdues; Le quinte; Matifat; rue des Lombard; 4; -; 48.859255, 2.349473; -; épicerie; Matifat; inexacte; cité; droite; fictif
Balzac; Illusions perdues; Utilità di droghieri; Panorama-Dramatique; 48 boulevard du Temple; 3; -; 48.865942, 2.365551; -; théâtre; Lucien, Lousteau, Finot, Matifat, Camusot, Cardot, Coralie, Florine, direttore del teatro Du Bruel; exact; vécu; droite; réel
Balzac; Illusions perdues; Utilità di droghieri; Tabar; 21 rue de Rohan; 1; -; 48.862732, 2.335237; -; restaurant; Finot; exact; cité; droite; réel
Balzac; Illusions perdues; Coralie; Panorama-Dramatique; 48 boulevard du Temple; 3; -; 48.865942, 2.365551; -; théâtre; Lucien, Florine, Coralie, Lousteau, direttore del teatro, Du Bruel, Matifat, Camusot, Cardot, Florentine; exact; vécu; droite; réel
Balzac; Illusions perdues; Coralie; Camusot; rue des Bourdonnais; 1; -; 48.859531, 2.344703; -; boutique; Camusot; inexacte; cité; droite; fictif
Balzac; Illusions perdues; Coralie; chez Florine; rue René-Boulanger; 10; -; 48.868515, 2.360085; -; maison; Lucien, Lucien, Florine, Coralie, Lousteau, direttore del teatro Panorama, Du Bruel, Matifat, Camusot, Cardot, Florentine; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Come si fanno i piccoli giornali; chez Florine; rue René-Boulanger; 10; -; 48.868515, 2.360085; -; maison; Lucien, Florine, Coralie, Cardot, Florentine, Lousteau, Matifat, Camusot, Tullia, Finot, Blondet, Nathan, Vernou, Claude Vignon, Du Bruel, direttore del teatro Panorama; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; La cena; chez Florine; rue René-Boulanger; 10; -; 48.868515, 2.360085; -; maison; Lucien, Florine, Coralie, Cardot, Florentine, Lousteau, Matifat, Camusot, Tullia, Finot, Blondet, Nathan, Vernou, Claude Vignon, Du Bruel, direttore del teatro Panorama, ministro tedesco, duca de Rhétoré; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; La cena; Chevet; 22 Galerie de Chartres; 1; -; 48.863722, 2.336607; -; épicerie; Lucien, Florine, Coralie, Cardot, Florentine, Lousteau, Matifat, Camusot, Tullia, Finot, Blondet, Nathan, Vernou, Claude Vignon, Du Bruel, direttore del teatro Panorama, ministro tedesco, duca de Rhétoré; exact; cité; droite; réel
Balzac; Illusions perdues; Un interno d’attrice; chez Coralie; rue de Vendôme (rue Béranger); 3; -; 48.866205, 2.363635; -; maison; Lucien, Coralie, Bérénice, Camusot; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Un interno d’attrice; Rocher de Cancale; 59 rue Montorgueil; 2; -; 48.865606, 2.346925; -; restaurant; Coralie, Camusot; exact; cité; droite; réel
Balzac; Illusions perdues; Un interno d’attrice; Colliau; 1 rue Neuve-des-Petits-Champs; 1; -; 48.866105, 2.339445; -; boutique; Coralie; exact; cité; droite; réel
Balzac; Illusions perdues; Un interno d’attrice; Champs-Elysées; Champs-Elysées; 8; -; 48.870757, 2.305331; -; rue; Lucien, Coralie; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Un interno d’attrice; Bois de Boulogne; Bois de Boulogne; 16; -; 48.864093, 2.248258; -; jardin publique; Lucien, Coralie, marchesa d’Espard, signora de Bargeton; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Un interno d’attrice; Rocher de Cancale; 59 rue Montorgueil; 2; -; 48.865606, 2.346925; -; restaurant; Lucien, Coralie, Hector Merlin, signora du Val Noble, Finot, Lousteau, Florine, Matifat, Cardot, Florentine, Blondet, Nathan, Vernou, Vignon, Du Bruel, direttore teatro Panorama; exact; vécu; droite; réel
Balzac; Illusions perdues; Ultima visita al Cenacolo; Cenacolo; rue Quatre Vents; 6; -; 48.851742, 2.337734; -; maison; Lucien, Bianchon, Chrestine, D’Arthez, Giraud, Ridal; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Una varietà di giornalista; chez Florine; rue René-Boulanger; 10; -; 48.868515, 2.360085; -; maison; Lucien, Florine, Lousteau; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Una varietà di giornalista; chez Félicien Vernou; rue Mandar; 2; -; 48.865653, 2.345971; -; maison; Lucien, Lousteau, Vernou; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Una varietà di giornalista; chez Coralie; rue de Vendôme (rue Béranger); 3; -; 48.866205, 2.363635; -; maison; Lucien, Lousteau; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Influenza degli stivali sulla vita privata; chez Coralie; rue de Vendôme (rue Béranger); 3; -; 48.866205, 2.363635; -; maison; Lucien, Coralie, Camusot; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Influenza degli stivali sulla vita privata; Gay; 6 rue de La Michodière; 2; -; 48.869462, 2.334705; -; boutique; Lucien, Coralie, Camusot; exact; cité; droite; réel
Balzac; Illusions perdues; Influenza degli stivali sulla vita privata; Very; 83 galerie de Beaujolais; 1; -; 48.866033, 2.338018; -; restaurant; Camusot, Lucien e Coralie; exact; vécu; droite; réel
